Generation,Max,Min,Mean,Std,Cost Time
1,-0.04004821181297302,-17.104307174682617,-1.4705982208251953,1.598453402519226,2.63675594329834
2,-0.040029991418123245,-227522.328125,-29.75,2353.312255859375,3.7015411853790283
3,-0.0319681242108345,-759172890624.0,-77514384.0,7670760960.0,3.8318018913269043
4,-0.027089251205325127,-679311048704.0,-105849568.0,7119654912.0,3.954633951187134
5,-0.023861417546868324,-13058718040064.0,-4824319488.0,180265484288.0,4.022902965545654
6,-0.021972157061100006,-1603387393048576.0,-185367543808.0,17016957173760.0,4.707150936126709
7,-0.020619697868824005,-901974270672896.0,-104757649408.0,9484323782656.0,4.425337076187134
8,-0.018964804708957672,-9.548841312747338e+28,-1.0398476904131763e+25,inf,4.339415073394775
9,-0.01607179082930088,-9.012175263954875e+25,-9.506977216189178e+21,inf,4.404279947280884
10,-0.015103434212505817,-1.557078368631078e+25,-1.7286003194249683e+21,inf,4.611448049545288
11,-0.014407887123525143,-6.982326607213299e+31,-7.243828613620495e+27,inf,5.027594089508057
12,-0.009720126166939735,-4.7884216933979626e+20,-4.986103984344269e+16,inf,4.86375093460083
13,-0.007705932483077049,-5.25305534016494e+18,-546469727698944.0,5.352193252759962e+16,4.571434259414673
14,-0.007357504218816757,-2.7120631924339083e+35,-2.8177280325831892e+31,inf,4.574722051620483
15,-0.007221306208521128,-2.01857057248173e+26,-4.920548285192009e+22,inf,4.688220262527466
16,-0.00480272201821208,-1.5572321056408628e+28,-2.900670954007009e+24,inf,4.751147031784058
17,-0.00480272201821208,-9.898870406610894e+26,-1.8949776336248476e+23,inf,4.783561944961548
18,-0.004442891571670771,-3.424092603955407e+27,-3.7810093169498864e+23,inf,4.798276901245117
19,-0.004283530171960592,-2.248096629812451e+25,-2.355859282987829e+21,inf,4.644431829452515
20,-0.004140900447964668,-3.075702235897003e+36,-6.298151480993546e+32,inf,4.631289958953857
